symboling,country,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype_gas,aspiration_turbo,doornumber_two
4,6,3,2,105.8,192.7,71.4,55.7,2954,4,136,7,3.19,3.4,8.5,110,5500,19,25,1,0,0
3,7,4,2,96.5,167.5,65.2,53.3,2236,6,110,3,3.15,3.58,9.0,86,5800,27,33,1,0,1
4,7,4,2,95.7,158.7,63.6,54.5,2015,6,92,5,3.05,3.03,9.0,62,4800,31,38,1,0,0
6,7,4,2,96.3,173.0,65.4,49.4,2370,6,110,4,3.17,3.46,7.5,116,5500,23,30,1,1,1
3,3,5,3,107.9,186.7,68.4,56.7,3075,6,120,7,3.46,2.19,8.4,95,5000,19,24,1,0,0
5,3,4,2,96.1,176.8,66.6,50.5,2460,6,132,7,3.46,3.9,8.7,90,5100,23,31,1,0,1
5,7,4,3,98.4,176.2,65.6,52.0,2714,6,146,7,3.62,3.5,9.3,116,4800,24,30,1,0,1
6,7,4,3,102.9,183.5,67.7,52.0,3016,5,171,7,3.27,3.35,9.3,161,5200,19,24,1,0,1
5,7,4,2,93.7,156.9,63.4,53.7,2050,6,97,5,3.62,2.36,9.0,69,4900,31,36,1,0,1
3,7,5,2,95.7,166.3,64.4,53.0,2081,6,98,5,3.19,3.03,9.0,70,4800,30,37,1,0,0
3,3,3,3,114.2,198.9,68.4,56.7,3285,6,120,7,3.46,2.19,8.4,95,5000,19,24,1,0,0
3,7,4,2,95.7,166.3,64.4,52.8,2122,6,98,5,3.19,3.03,9.0,70,4800,28,34,1,0,0
4,7,5,2,94.5,165.3,63.8,54.5,1889,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,1
5,6,5,2,97.3,171.7,65.5,55.7,2209,6,109,7,3.19,3.4,9.0,85,5250,27,34,1,0,1
3,6,3,2,100.4,183.1,66.9,55.1,2563,6,109,7,3.19,3.4,9.0,88,5500,25,31,1,0,0
6,6,4,3,94.5,168.9,68.3,50.2,2778,6,151,7,3.94,3.11,9.5,143,5500,19,27,1,0,1
2,7,5,2,102.4,175.6,66.5,54.9,2326,6,122,7,3.31,3.54,8.7,92,4200,29,34,1,0,0
4,7,5,2,94.5,165.3,63.8,54.5,1938,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,0
3,6,5,3,103.5,193.8,67.9,53.7,3380,5,209,7,3.62,3.39,8.0,182,5400,16,22,1,0,1
6,6,2,2,94.5,159.3,64.2,55.6,2254,6,109,7,3.19,3.4,8.5,90,5500,24,29,1,0,1
6,5,4,2,99.1,186.6,66.5,56.1,2808,6,121,7,3.54,3.07,9.0,160,5500,19,26,1,1,1
4,4,4,2,93.7,157.3,63.8,50.8,1876,6,90,5,2.97,3.23,9.4,68,5500,31,38,1,0,1
4,4,1,3,112.0,199.2,72.0,55.4,3715,3,304,7,3.8,3.35,8.0,184,4500,14,16,1,0,1
4,7,5,2,94.5,155.9,63.6,52.0,1874,6,90,5,3.03,3.11,9.6,70,5400,38,43,1,0,1
5,6,5,1,99.4,176.6,66.4,54.3,2824,4,136,7,3.19,3.4,8.0,115,5500,18,22,1,0,0
2,4,5,3,115.6,202.6,71.7,56.5,3740,3,234,7,3.46,3.1,8.3,155,4750,16,18,1,0,0
6,5,4,2,99.1,186.6,66.5,56.1,2707,6,121,7,2.54,2.07,9.3,110,5250,21,28,1,0,1
3,7,5,1,97.0,172.0,65.4,54.3,2510,6,108,7,3.62,2.64,7.7,111,4800,24,29,1,1,0
4,4,5,2,93.7,167.3,63.8,50.8,2191,6,98,5,2.97,3.23,9.4,68,5500,31,38,1,0,0
4,4,5,2,93.7,157.3,63.8,50.6,1989,6,90,5,2.97,3.23,9.4,68,5500,31,38,1,0,0
6,7,4,2,95.9,173.2,66.3,50.2,2921,6,156,4,3.59,3.86,7.0,145,5000,19,24,1,1,1
3,7,3,1,96.9,173.6,65.4,54.9,2650,6,108,7,3.62,2.64,7.7,111,4800,23,23,1,1,0
5,6,5,2,97.3,171.7,65.5,55.7,2275,6,109,7,3.19,3.4,9.0,85,5250,27,34,1,0,0
4,6,5,2,105.8,192.7,71.4,55.9,3086,4,131,7,3.13,3.4,8.3,140,5500,17,20,1,1,0
4,7,5,2,94.5,165.3,63.8,54.5,2017,6,103,6,2.99,3.47,21.9,55,4800,45,50,0,0,1
4,7,5,3,94.5,168.7,64.0,52.6,2169,6,98,5,3.19,3.03,9.0,70,4800,29,34,1,0,1
4,7,4,2,98.8,177.8,66.5,53.7,2385,6,122,5,3.39,3.39,8.6,84,4800,26,32,1,0,1
4,4,4,3,102.7,178.4,68.0,54.8,2910,6,140,7,3.78,3.12,8.0,175,5000,19,24,1,1,1
4,7,4,3,99.2,178.5,67.9,49.7,3139,5,181,7,3.43,3.27,9.0,160,5200,19,25,1,0,1
3,7,5,2,98.8,177.8,66.5,55.5,2443,6,122,6,3.39,3.39,22.7,64,4650,36,42,0,0,0
1,5,5,3,104.3,188.8,67.2,56.2,3045,6,130,7,3.62,3.15,7.5,162,5100,17,22,1,1,0
3,7,5,2,97.2,172.0,65.4,52.5,2340,6,108,7,3.62,2.64,9.0,94,5200,26,32,1,0,0
4,4,4,2,93.7,157.3,63.8,50.6,1967,6,90,5,2.97,3.23,9.4,68,5500,31,38,1,0,0
5,7,4,2,86.6,144.6,63.9,50.8,1713,6,92,3,2.91,3.41,9.6,58,4800,49,54,1,0,1
5,5,5,2,99.1,186.6,66.5,56.1,2758,6,121,7,3.54,3.07,9.3,110,5250,21,28,1,0,0
